Metric,Average,Std Dev,Min,Max,Count
bleu,0.0,0.0,0.0,0.0,20
context_recall_score,0.68,0.4273,0.0,1.0,20
faithfulness_score,0.93,0.2216,0.0,1.0,20
mrr,0.7992,0.3147,0.2,1.0,20
ndcg,1.2022,0.4448,0.387,1.631,20
overall_score,0.6396,0.1515,0.359,0.832,20
precision@k,0.33,0.0954,0.2,0.4,20
recall@k,1.0,0.0,1.0,1.0,20
relevancy_score,0.74,0.4116,0.0,1.0,20
rouge-1,0.0544,0.1114,0.0,0.4,20
rouge-2,0.0084,0.0364,0.0,0.167,20
rouge-l,0.0544,0.1114,0.0,0.4,20
semantic_similarity,0.3867,0.2307,-0.081,0.833,20
similarity_score,0.328,0.3362,0.0,1.0,20
